Host,Active Threats,Active Profiles,Total Indicators, Indicator Profiles,Threat Classes,Last Seen,Last Expiry
185.86.148.184,1,"['IID']",3,"['CrowdStrike', 'IID']","['UncategorizedThreat', 'APT']",2018-10-04 15:44:23.459000,2048-09-28 23:07:17.568000
moldstream.md,0,"[]",1,"['FarsightSecurity']","['Policy']",2018-04-27 09:53:41.120000,
185.181.102.201,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:33.325000,2038-10-04 15:41:59.041000
visualrates.com,0,"[]",3,"['FarsightSecurity', 'SURBL']","['Policy']",2018-11-13 22:01:17.334000,
169.239.129.121,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:26.149000,2038-10-04 15:41:59.041000
regvirt.com,0,"[]",11,"['CrowdStrike', 'SURBL']","['MalwareC2', 'Policy']",2018-11-05 15:34:15.292000,
46.21.147.71,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:17.419000,2038-10-04 15:41:59.041000
ntpstatistics.com,0,"[]",4,"['FarsightSecurity', 'SURBL']","['Policy', 'UncategorizedThreat']",2018-03-02 05:15:56.066000,2018-03-29 16:13:57
169.239.128.133,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:24.666000,2038-10-04 15:41:59.041000
oiatribe.com,0,"[]",1,"['SURBL']","['Policy']",2017-07-12 07:07:10.431000,
162.208.10.66,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:24.666000,2038-10-04 15:41:59.041000
msfontserver.com,0,"[]",2,"['FarsightSecurity', 'SURBL']","['Policy']",2018-04-04 12:52:52.973000,
179.43.158.20,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:33.325000,2038-10-04 15:41:59.041000
treckanalytics.com,0,"[]",1,"['SURBL']","['Policy']",2017-08-11 03:47:48.902000,
94.177.12.150,1,"['IID']",60,"['EmergingThreats', 'IID']","['Policy', 'APT']",2018-10-04 15:44:23.459000,2038-10-04 15:41:59.041000
unigymboom.com,0,"[]",2,"['FarsightSecurity', 'SURBL']","['Policy']",2017-11-05 13:04:41.334000,
185.86.151.2,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:26.446000,2038-10-04 15:41:59.041000
sysanalyticweb.com,1,"['IID']",20,"['CrowdStrike', 'FarsightSecurity', 'IID', 'SURBL']","['MalwareC2', 'Policy', 'APT']",2018-09-28 23:07:40.244000,2048-09-28 23:07:17.568000
54.37.104.106,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:26.149000,2038-10-04 15:41:59.041000
remotepx.net,1,"['IID']",7,"['CrowdStrike', 'IID', 'SURBL']","['UncategorizedThreat', 'MalwareC2', 'APT', 'MalwareDownload', 'Policy']",2018-11-23 16:49:13.968000,2048-09-28 23:07:17.568000
85.204.124.77,1,"['IID']",2,"['CrowdStrike', 'IID']","['UncategorizedThreat', 'APT']",2018-10-04 15:44:17.419000,2038-10-04 15:41:59.041000
vsnet.co,0,"[]",18,"['SURBL']","['Policy', 'UncategorizedThreat']",2018-10-23 02:00:43.433000,2018-04-27 03:09:50
46.21.147.76,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:17.419000,2038-10-04 15:41:59.041000
hp-apps.com,0,"[]",1,"['SURBL']","['Policy']",2016-12-31 00:00:45,
185.86.149.116,2,"['IID']",3,"['IID']","['APT']",2018-10-04 15:44:26.762000,2038-10-04 15:41:59.041000
jflynci.com,1,"['IID']",11,"['CrowdStrike', 'IID', 'SURBL']","['UncategorizedThreat', 'MalwareC2', 'APT', 'Policy']",2018-09-28 23:07:35.844000,2048-09-28 23:07:17.568000
185.86.151.104,1,"['IID']",2,"['IID']","['APT']",2018-10-04 15:44:26.149000,2048-09-28 23:07:17.568000
peacefund.eu,0,"[]",1,"['CrowdStrike']","['UncategorizedThreat']",2017-10-17 11:39:47.658000,2017-10-17 11:34:48
185.183.107.40,1,"['IID']",1,"['IID']","['APT']",2018-10-04 15:44:33.325000,2038-10-04 15:41:59.041000
elaxo.org,1,"['IID']",25,"['CrowdStrike', 'IID', 'SURBL']","['MalwareC2', 'UncategorizedThreat', 'APT', 'Policy']",2018-09-28 23:07:36.072000,2048-09-28 23:07:17.568000
86.106.131.54,1,"['IID']",3,"['CrowdStrike', 'IID']","['UncategorizedThreat', 'APT']",2018-10-04 15:44:24.666000,2048-09-28 23:07:17.568000
oiagives.com,0,"[]",1,"['SURBL']","['Policy']",2017-07-28 22:07:38.859000,
93.113.131.103,1,"['IID']",2,"['IID']","['APT']",2018-10-04 15:44:33.325000,2048-09-28 23:07:17.568000
webstp.com,1,"['IID']",5,"['CrowdStrike', 'IID', 'SURBL']","['MalwareC2', 'UncategorizedThreat', 'APT', 'Policy']",2018-09-28 23:07:41.324000,2048-09-28 23:07:17.568000
185.94.191.65,1,"['IID']",3,"['IID']","['APT', 'Spambot']",2018-10-04 15:44:17.419000,2048-09-28 23:07:17.568000
Summary: Total = 35, Active = 23, Threats = 35, No info = 0
